raceId,driverId,start_pos,end_pos,pit_sec,pit_time_pct,positions_gained
Germany_1994,FIT,17,4.0,32.285,0.8966393061793404,13.0
Germany_1994,COM,22,6.0,37.739,0.7670579506611198,16.0
Germany_1994,BER,24,1.0,33.1265,0.8738623156687244,23.0
Germany_1994,BER,24,3.0,33.1265,0.8738623156687244,21.0
Germany_1994,BER,24,7.0,33.1265,0.8738623156687244,17.0
Germany_1994,BRA,25,,43.953,0.6586126089231679,
Hungary_1994,MSC,1,1.0,42.829499999999996,0.0,0.0
Hungary_1994,HIL,2,2.0,32.05,0.0,0.0
Hungary_1994,COU,3,,44.9315,0.0,
Hungary_1994,BER,4,9.0,31.790666666666667,0.0,-5.0
Hungary_1994,BER,4,10.0,31.790666666666667,0.0,-6.0
Hungary_1994,BER,4,12.0,31.790666666666667,0.0,-8.0
Hungary_1994,BRU,6,4.0,45.1165,0.0,2.0
Hungary_1994,FRE,8,,31.201,0.0,
Hungary_1994,PAN,9,6.0,29.921,0.0,3.0
Hungary_1994,BLU,11,5.0,38.308,0.0,6.0
Hungary_1994,VER,12,3.0,43.8005,0.0,9.0
Hungary_1994,ALE,13,,31.508,0.0,
Hungary_1994,ALL,14,,0.0,,
Hungary_1994,MAR,15,,31.837,0.0,
Hungary_1994,FIT,16,14.0,31.411,0.0,2.0
Hungary_1994,DEC,17,,30.407,0.0,
Hungary_1994,BER,18,9.0,31.790666666666667,0.0,9.0
Hungary_1994,BER,18,10.0,31.790666666666667,0.0,8.0
Hungary_1994,BER,18,12.0,31.790666666666667,0.0,6.0
Hungary_1994,MOR,19,,31.414,0.0,
Hungary_1994,ALB,20,7.0,44.556,0.0,13.0
Hungary_1994,COM,21,8.0,31.534,0.0,13.0
Hungary_1994,ZAN,22,13.0,49.113,0.0,9.0
Hungary_1994,BRA,23,11.0,35.814,0.0,12.0
Hungary_1994,BER,25,9.0,31.790666666666667,0.0,16.0
Hungary_1994,BER,25,10.0,31.790666666666667,0.0,15.0
Hungary_1994,BER,25,12.0,31.790666666666667,0.0,13.0
Hungary_1994,GOU,26,,0.0,,
Belgium_1994,BAR,1,,38.774,0.8894362201475216,
Belgium_1994,HIL,3,1.0,36.242,0.9515755201147841,2.0
Belgium_1994,IRV,4,13.0,35.083,0.9830117150756777,-9.0
Belgium_1994,VER,6,3.0,35.783,0.9637816840399073,3.0
Belgium_1994,COU,7,4.0,35.897,0.9607209516115554,3.0
Belgium_1994,HAK,8,2.0,34.784,0.9914615915363386,6.0
